timestamp,frame_total_ms,undistort_ms,backend_ms,publish_ms
1593.899839,98.628,4.026,93.649,0.787
1593.999676,98.331,4.009,93.414,0.741
1594.099512,86.370,4.059,81.160,0.981
1594.199351,122.055,4.086,117.023,0.773
1594.299204,94.915,3.957,89.958,0.834
1594.399431,112.959,3.984,108.091,0.714
1594.499254,93.868,3.963,88.880,0.854
1594.599492,119.233,4.030,114.269,0.767
1594.699335,111.867,4.187,106.765,0.748
1594.799166,123.868,3.999,118.893,0.807
1594.899801,109.543,4.081,104.305,0.978
1594.999644,96.516,4.164,91.427,0.745
1595.099489,101.021,3.960,96.007,0.871
1595.199312,101.915,5.712,95.280,0.753
1595.299161,92.698,3.989,87.404,1.133
1595.399791,101.325,3.971,96.408,0.777
1595.499618,117.476,3.965,112.570,0.778
1595.599450,101.157,4.154,96.105,0.734
1595.699295,88.151,4.006,82.804,1.169
1595.799151,98.337,4.066,93.206,0.768
1595.899806,86.341,4.126,81.100,0.948
1595.999645,109.466,5.744,102.790,0.765
1596.099479,113.561,4.177,108.175,1.047
1596.199319,93.038,3.963,88.121,0.770
1596.299161,126.955,3.954,121.252,1.568
1596.399796,101.144,3.939,96.325,0.682
