timestamp,total_ms,feature_extract_ms
1378.799824,25.549,25.215
1378.899661,24.057,23.718
1378.999498,25.140,24.800
1379.099333,25.442,25.070
1379.199972,25.804,25.496
1379.299822,24.462,24.011
1379.399667,23.759,23.356
1379.499514,26.396,26.063
1379.599353,24.630,24.346
1379.699969,24.052,23.730
1379.799798,23.448,23.180
1379.899645,25.189,24.918
1379.999484,25.372,25.036
1380.099323,24.027,23.621
1380.199973,23.324,22.981
1380.299813,23.840,23.491
1380.399665,22.920,22.609
1380.499501,27.398,26.821
1380.599336,23.646,23.311
1380.699984,24.199,23.861
1380.799829,23.282,22.982
1380.899674,25.493,25.137
1380.999525,24.688,24.365
1381.099379,24.115,23.831
1381.199612,25.358,25.057
1381.299464,24.152,23.748
1381.399303,23.991,23.661
1381.499948,26.324,25.862
1381.599780,24.202,23.823
1381.699623,24.752,24.451
1381.799456,23.930,23.513
1381.899286,25.787,25.514
1381.999929,24.258,23.941
1382.099768,24.889,24.620
1382.199601,24.182,23.872
1382.299441,25.547,25.230
1382.399281,24.379,24.067
1382.499918,24.803,24.413
1382.599757,23.966,23.683
1382.699588,27.038,26.690
1382.799427,26.622,26.251
1382.899663,25.291,24.961
1382.999504,24.746,24.391
1383.099349,27.526,26.998
1383.199973,23.825,23.483
1383.299815,24.089,23.788
1383.399648,25.245,24.919
1383.499482,23.572,23.260
1383.599324,23.786,23.288
1383.699967,25.216,24.919
1383.799810,23.998,23.661
1383.899641,26.951,26.511
1383.999485,27.823,27.464
1384.099327,23.818,23.526
1384.199954,24.919,24.482
1384.299799,27.124,26.808
1384.399640,27.641,27.303
1384.499479,23.298,22.972
1384.599321,24.543,24.180
1384.699955,25.015,24.709
1384.799780,25.074,24.709
1384.899617,23.332,22.985
1384.999464,24.642,24.297
1385.099300,23.457,23.162
1385.199956,30.709,30.276
1385.299784,24.504,24.192
1385.399624,26.332,25.976
1385.499466,23.489,23.174
1385.599290,25.330,24.981
1385.699932,22.967,22.497
1385.799770,23.875,23.488
1385.899618,23.186,22.852
1385.999469,23.370,23.028
1386.099299,23.933,23.585
1386.199941,26.375,25.871
1386.299798,24.082,23.655
1386.399649,24.996,24.591
